address,1,10,42161,1_isEOA,10_isEOA,42161_isEOA
0xbf6b82232ab643ffb85578868b74919fe30e26e2,1,0,0,1,1,1
0x568f06990633d93b6cc42f11e174d4632e909434,1,0,0,1,1,1
0xacdba7adae48167c130c2fbdb08b69db135b453c,1,0,0,1,1,1
0x5623a122dbf37715bee2e164dcc930e3ee80e2fd,1,0,0,1,1,1
0xbd551650cad64d549c2b879032e38283c3bab316,1,0,0,1,1,1
0x10027d8f80c1b33a07c94f79780c1d5d72a985b6,1,0,0,1,1,1
0xe6e30170705c67bda561a797b21515c43b85963d,1,0,0,1,1,1
0x1f9aa698b3781ea29878036773a0df87f5325d98,1,0,0,1,1,1
0xc33c3685d331004d99f591ceed5b04fafa098ade,1,0,0,1,1,1
0x84ab6aeda45c85b910c363a454c5c0e93d8691a2,1,0,0,1,1,1
0xce8c2a142130f2fe3178974c692dcc5faf306680,1,0,0,1,1,1
0x14633456e8feb896fe09b2830f3cf17392d921f3,1,0,0,1,1,1
0x0829ed58828ec0a7c6270331bd46cfeb04f57c51,1,0,0,1,1,1
0x653102a9a89e3b43259b068e7da184beb3d1b6f5,1,0,0,1,1,1
0x2c087923ae6119454d8d3ef3c70dd031e842954c,1,0,0,1,1,1
0xdb0e387ce7158d84486e7dc7b828ff9c351dfab8,1,0,0,1,1,1
0xced29ba48490c51e4348e654c313ac97762beccc,1,0,0,1,1,1
0xfca828d40b75e0599d6457f22cbbe49f94df42c5,1,0,0,1,1,1
0xb9136f75e4f0efab9869c6c1d4659e3a585e9091,1,0,0,1,1,1
0x2e7796a8cf69b458a79963b35545f1744e682fec,1,0,0,1,1,1
0x02108bb399fe187b5efa1174a94c9a5944f9d7b9,1,0,0,1,1,1
0x37f3e839e80b7d0bfa7c1b0f8ec0f7b7f111ece3,1,0,0,1,1,1
0x7ed9dc4698e7517031290712a0c542996ddd6e40,1,0,0,1,1,1
0x0497ededbb17e27d200f9fc7fd2e4f727970246c,1,1,0,1,1,1
0x02d4bc45e55f325a0a20f5831b60e1f55918aba8,1,0,0,1,1,1
0x8e370b7419f8d7bcd341a2e0c1c5a666d8ab5b4d,1,0,0,1,1,1
0x224234caa216a82d6be25edc0e75763295cac9fd,1,0,0,1,1,1
0xed18d1e55c4bba34abdf950119964ae3a9a10e04,1,0,0,1,1,1
0x62c72c74c8f8d0c94ff4e43293b3200e79e3712e,1,0,0,1,1,1
0xda7dc67829f5c1ad7ec4c6174a6fbbc722229a40,1,0,0,1,1,1
0x50adf7a75d7cd6132acc0a2fb21c019011286635,1,0,0,1,1,1
0x0ab7bc1922d2d9807f5d59aa6e155dcde8fc1f6e,1,0,0,1,1,1
0xaa0b4c0fd96dc3cf26ab94403d4e9a062d15fc56,1,0,0,1,1,1
0xcbd7d22dd7f5b7e856478027844149c47999e38a,1,0,0,1,1,1
0x0c4e0544f0ecfdf4387b45e44d2f45d26ae65d02,1,0,0,1,1,1
0x8246a1037d0e1b0a70034e7769a0196dfec83988,1,0,0,1,1,1
0x5c3a9dbcfda0dadb8585ee2ef2f9a4b074d3e625,1,0,0,1,1,1
0x8b2854b0d083bcba9c54f6cdf5aaee7f494bc6d6,1,0,0,1,1,1
0x12c6ccd4aaf4c65e90e5f4f48608f2caa799f184,1,0,0,1,1,1
0xa440423cc4731909d21cda5b80cdf4a0e998a046,1,0,0,0,1,1
0xa67743b65b4f4d0f7de898fd3086161e965d5f6f,1,0,0,1,1,1
0x8b0573d1c80362db589eda39c2e30f5190d7eb51,1,0,0,1,1,1
0x7b9044d2862e1bcf5212f9d41583c291cd5419f6,1,0,0,1,1,1
0xbf62319147a6fb8dcb9bd907b890195be6929222,1,0,0,1,1,1
0x3501e6b12eb67ef7db9ef4c779d127b0e5b6f6e6,1,0,0,1,1,1
0xda83c38915c4918c418dddb8806301d958c11052,1,0,0,1,1,1
0xf872703f1c8f93fa186869bac83bac5a0c87c3c8,1,0,0,1,1,1
0xff32e57ceed15c2e07e03984bba66c220c06b13a,1,0,0,1,1,1
0x0a12aa80e67ec7dc943a5cfaf4576fb026fc7381,1,0,1,1,1,1
0x5a98084c470ab614dbdb0b992d4515a7b55bcda4,1,0,0,1,1,1
0xec561dd73346f761d1c09f46999bc8ea1b1e95a2,1,0,0,1,1,1
0xafb50e978276e07d3ae3fcc7a96a8b05c5650e22,1,0,0,1,1,1
0xe2d079278c0f4959199136f8db11c645d69a292b,1,0,0,1,1,1
0x7773a2ee2461226000646112331ff43315f1e055,1,0,0,1,1,1
0x30c606630794411a20e5e1b9b900605f645d5722,1,0,0,1,1,1
0x0dc1c59c74eae4b4261a69c9ff6297a68d52a710,1,0,0,1,1,1
0x339d2417116c2136d0c325de2901640823f3a421,1,0,0,1,1,1
0x6fb5fcf6170ef0331c3f7f79a5792e0c5735d5e8,1,0,0,1,1,1
0x9402bac72c781d1b4210007e46bc19b018fddd28,1,0,0,0,1,1
0xa335ade338308b8e071cf2c8f3ca5e50f6563c60,1,0,0,1,1,1
0xcd1855acf9d48c686d87af63abddd59f95bcde3a,1,0,0,1,1,1
0x59e99351467c4a654a5ac8e649f07b213708b597,1,0,0,1,1,1
0xa9c46e11edd3b6f5861a1c995b1960e210617193,1,0,0,1,1,1
0xc7b10d3b08ceb05d8ff58a3c781225d9a72078ae,1,0,0,0,1,1
0xe371f2f0747f4b07b792e56b9de9a43de79b83af,1,0,0,0,1,1
0xc6adbedcf547266b7c304d679aa8af04f6e55b27,1,0,0,1,1,1
0x4d538a0289ca3243a3b7edeb8e2ba68ca423ff63,1,0,0,1,1,1
0x86632848578699919df3944fba490a614ed762a3,1,0,0,1,1,1
0xf0492df9b70e5359b172d2f7867748c1596b8b66,1,0,0,1,1,1
0x887e25fb6e7e3eca05e771f096aee0f615b1bc81,1,0,0,1,1,1
0xc6a3f463806fec72df9d2ab68142f898c898a862,1,0,0,1,1,1
0x42b128db6dd6c3fe90843c5e3d58061d8d9c6785,1,0,0,1,1,1
0x64d6539c03352d0faeab9c2a1c3120dba859836c,1,0,0,0,1,1
0x66d6307c62e8082a6bd99ff4a8aa9ab2dea081c0,1,0,1,1,1,1
0x7eb9d67f9daea510399a1ee978b36e66626058d3,1,0,0,1,1,1
0xef0905745ce28ebe1ded7004146132fbfba548ba,1,0,0,1,1,1
0x604dbcb8d265e1aba1dce152abb8498ef555832f,1,0,0,1,1,1
0xc71a161bff29c5b4586008abcebbcc4ab8f9e0c1,1,0,0,1,1,1
0x807c8f1d6010c21c01171463a96348491a4fbf3a,1,0,0,1,1,1
0xebb5850a7bf240769623406e28988bd63cf2901e,1,0,0,1,1,1
0x7ea251f8a6457fb001f7f349b27a32b404d8c268,1,0,0,1,1,1
0x00778a211057c47a9f8885750bbf48226771bcdc,1,0,0,1,1,1
0x3d1d397acd3b0989d9e633d6dbf7e6f8f5c03a2d,1,0,0,1,1,1
0x3b0822c95e1bc6e28bff2b51c77a6f3e444a358e,1,0,0,1,1,1
0xda248cc10b477c1144219183ec87b0621dac37b3,1,0,0,1,1,1
0x97453a0b667cc52b52ad829b467b8054faf258bd,1,0,0,1,1,1
0x309d44fe6f4b52733906206a707a67e077ad06ff,1,0,0,1,1,1
0x9996f0625a29ac20e06bac3e95e753b5bab2a6f6,1,1,1,1,1,1
0xbb3c5b1b75fad3998bea89466bfc4fdbfe23dd08,1,0,0,1,1,1
0x70981969fb2ee716f8297b0736a80a908ef842a8,1,0,0,1,1,1
0x57b31dad7a6788513c1a6731bd08e1f6a6f49839,1,0,0,1,1,1
0xb8860eb8fdac08db67f3a3375aaaa023fc8b3fb2,1,0,0,1,1,1
0xb638c19631ba859f5f53c396312d13f588ba5cb1,1,0,0,1,1,1
0x5444c3377842568e5ccd77df6f8b26c2c2ef3878,1,0,0,1,1,1
0xef49eb38d571c35196926e973df197733c892525,1,0,0,1,1,1
0x83be8a9306945690c2cf558fac3d4ca4e9eec1b4,1,0,0,1,1,1
0x1cabc3e62e0527cbe09917f5ca8e6d9999502d82,1,0,1,1,1,1
0x33d5cc43debe407d20dd360f4853385135f97e9d,1,0,0,1,1,1
0xeb005e8147c40320d6fa71c5b29362f0f136d2bf,1,0,0,1,1,1
0x331154ed92dce6507e55238a8d5c88a3d19a8c69,1,0,0,1,1,1
0xbe605a3bb042cf159ff2d6ae33644f5ba8dd260a,1,0,0,1,1,1
0x476e23bfc5415397021a74e525640b328a12b81e,1,0,0,1,1,1
0xd78ba1972fe79eff73da848319f4190bbd91aad3,1,0,0,1,1,1
0xdea5ceb54882051950e48a2c760ee4af867b0101,1,0,0,1,1,1
0xa7a5dff9e7e0d1ee320fd3d5f96dc689cdce5220,1,0,0,1,1,1
0x8a9aecb126b8afac9bdca66d9e6dbd505a261ca6,1,0,0,1,1,1
0x40e71cd6009194225ffd6f30a94210113f733777,1,0,0,1,1,1
