"HolderAddress","Unique Tokens","Quantity","PendingBalanceUpdate"
"0xa70aeb6f4b116ec5478a1204ea7a6ca4e50e2997","2","2","No"
"0xcdd6ec239116c84b87916dceef93d92ae0b64c1f","2","2","No"
"0x05c446f4d6c3fb71f2f2949c92e0a5ee6e59853e","2","2","No"
"0x9f82226aae1f6900047da20c30dc836587157e03","2","2","No"
"0x354bc27b4bf791ccd572fc4c2e80f335de8dfb58","2","2","No"
"0xcd45b0dd22cead98973b79e8767fe4ef371cd7eb","2","2","No"
"0x74715a4a110e82c376d5c96efefcf23a6d1e7be1","2","2","No"
"0xb4b4aebf8e6f1a46c331706ad544188e4975f6bb","2","2","No"
"0xfe4841a4615b8132e6e116a033ca39333c63d121","2","2","No"
"0xbd1f7d88c76a86c60d41bddd4819fae404e7151e","2","2","No"
"0x97468f2f722dcd25843bd271603a1d2eb8520bf1","2","2","No"
"0x264571c538137922c6e8af4927c3d3f681399e50","2","2","No"
"0x4bd120e887cc82285aff8408dc208ed32b132bb3","2","2","No"
"0x6343249af8ecfd6b3fd903b338504166a22005f9","2","2","No"
"0xedff3e9b6d596501c7fe806ef26bff395c01bdbe","2","2","No"
"0xf2bae9fcd8e3443e647007a035c99a2766c06a28","2","2","No"
"0x552ec58ec4aa8b5374b042f2995fa857167c99af","2","2","No"
"0x0a0bcaa41f8b59ca10b2ba71743ee2ca330c93d7","2","2","No"
"0x40e71cd6009194225ffd6f30a94210113f733777","2","2","No"
"0x5082f9fd72d74bad1fa59dfc3e1a2980a5519eac","2","2","No"
"0xfa9dbab87da24fa3716c084cc8f9cc4f5e573849","2","2","No"
"0xae139be36a9aaf91af8f719740ce3a2f7102e66e","2","2","No"
"0xc255e0a1be0a4b7b8bf5ebe8d0aba162cf75bae2","2","2","No"
"0xde192b7e66920d881bd94d0be6840fd39e5fb744","2","2","No"
"0xf5bce02e24313618ed2e8318dee2b86bf53cd53c","2","2","No"
"0x01c9f4268beb4c049ac81e0a1d8e6970078601b1","2","2","No"
"0x929cf8d3d25784813d8e04a34cdf181e1800010c","2","2","No"
"0xb90781ceb500f80a9c101225ed5451449a3aa5bc","2","2","No"
"0x34bdab3042cfd0614658b2e1da368f8ca484929a","2","2","No"
"0x273e9c8198378640f5f007379034b5fa201ef119","2","2","No"
"0xb054675add7062e2a708ba7c211fb0ec1f56b8fa","2","2","No"
"0x531a50b437725ca67a8aee30065370453db09334","2","2","No"
"0xa9ad698e09e636d74016b8b998df69aa883190dc","2","2","No"
"0x0ab7bc1922d2d9807f5d59aa6e155dcde8fc1f6e","2","2","No"
"0xbbde1e05d96c5c4f7e377d5eaed21cac08a92945","2","2","No"
"0xfeb620b14a9c3683cecb9097802af9c32e51c701","2","2","No"
"0x80ad7547d879ab0481eda439bf0514e02b0cc2b9","2","2","No"
"0xf2608980e5499a811e61eb51e610c5a4d1d22e49","1","1","No"
"0xd90d5c7a6ebb19b45959cd622367e4be0985a05c","1","1","No"
"0xb7f9f538aa1b41ae2853eb63f1939187ffe70eb4","1","1","No"
"0xd716ad4f10eade5af4ed10006678f49bd2e6624f","1","1","No"
"0x9ca10fe0ccc43d8464e91938e56411e6ecfb8e2d","1","1","No"
"0x6265aafc8d25b36f97181c44d0eb6693f00eba17","1","1","No"
"0xe2974ac15aab159db17738b06e1be0d7df72e74e","1","1","No"
"0x6a5dbf2fb5206ec8192620810c3edb6d5e62b188","1","1","No"
"0x9325564ade7683706107685cf1993678b1163261","1","1","No"
"0x8ed876fded3699c590be3e12cef56e23376eff3b","1","1","No"
"0x2bc87addae195da271c2cb6f773cee647aeefa60","1","1","No"
"0x0c0d536aac272845556bfac2a8b719993a5a214d","1","1","No"
"0x5b2e846fed34400177ae8f46c3f4934b4388c8c7","1","1","No"
"0x5b06589608b2b11c5abb39e7ddb58979e46132ad","1","1","No"
"0x55e05e75d1f78db464d94823ff2d2edd10c45673","1","1","No"
"0xcd684efc2e9491e7d55528b03f0bf2d53e75c09a","1","1","No"
"0x6ef3f0ff397c3de367c6ca2cc3e6b6955e7993a5","1","1","No"
"0x904bb2b1606583de42a380636dab40424b53710f","1","1","No"
"0x06a81b2d1afe601f26edf52d7ff3998713d0a6c8","1","1","No"
"0x99bcea6bb0403927fb3c038163478d5b42082fd9","1","1","No"
"0x44fccfdb4d509cddac3a1fa35c60bf1c7c23d71a","1","1","No"
