Address,pctOfWeightedTotal,1_isContract,42161_isContract,10_isContract,flagged?,chain,SDL,veSDL
0xB1748C79709f4Ba2Dd82834B8c82D4a505003f27,14.99368,1,0,0,0,1,26054300474128300230048723,18767482393074149951441365
0x27E2E09a84BaE20C2a9667594896EaF132c862b7,11.83388,0,0,0,0,42161,79813121084969147141820986,0
0xda7Dc67829F5c1Ad7eC4C6174a6Fbbc722229a40, 4.31542,0,0,0,0,42161,29105181380010147133434804,0
0x74c5E6Dc988989D3025292C94d36B9e0ABBcf3d0, 4.31542,0,0,0,0,42161,29105181380010147133434804,0
0x0e269790EBA49dCe4B852457F60f4A1493F42dC1, 3.51657,0,0,0,0,42161,23717410139327947547125628,0
0xb42b2FD9e3399336a47b6759A840F0baC1DdE895, 3.44169,0,0,0,0,42161,6715283988147067852356935,4124274167141120870985520
0xA44ED7D06cbEE6F7d166A7298Ec61724C08163F5, 3.23656,1,0,0,0,1,21828886035007610350076103,0
0x53AB8F38EE493d88553Ea6c2766d574E404e249B, 3.09016,1,0,1,0,1,20841482626240485551293759,0
0xCB8EFB0c065071E4110932858A84365A80C8feF0, 2.61760,0,0,0,0,42161,17654325000000000000000000,0
0xFADd1e869eEeb303785f9FafCEDBC40605B8B346, 1.82725,0,0,0,0,42161,12323861825900000000000000,0
0x01F3f5E04aC4ef7c632A16B1F5AcFAd1CC100077, 1.73328,0,0,0,0,42161,2360577863409483965903882,2332374243661889771658405
0xa0f75491720835b36edC92D06DDc468D201e9b73, 1.72514,0,0,0,0,42161,11635183130972670185649775,0
0x6B6c51C444fea186e7dAb8963730f37FAFf1dB16, 1.61480,0,0,0,0,42161,2505880684806996106107170,2096282590849856145153865
0x89a88bcfe0A8BB0BD240FACf5f20385Cdc48eC4C, 1.58198,0,0,0,0,42161,10652966592855270180584640,4161476915778213294515
0xdB7A80DdfDeB83573636B84862803bB07317194C, 1.57147,0,0,0,0,42161,10598763742536002809975412,0
0xbf6b82232Ab643ffb85578868B74919fE30E26e2, 1.38557,0,0,0,0,42161,9344946111586757990867579,0
0xD9AED190e9Ae62b59808537D2EBD9E123eac4703, 1.35774,0,0,0,0,42161,5276563284743612284399056,970164733957627094255495
0xC6e00e0E3544C93460cdFb53E85C4528EF348265, 1.33581,0,0,0,0,42161,2711131542604252077279833,1574546629249112100782865
0x5318f07A3a20A2f8bb0DDf14F1DD58C517a76508, 1.17488,0,1,1,0,42161,1927121903391382306724813,1499217243586694550864190
0x0EA4A285E1353F490eC7f473AB3174Cac71cF79a, 1.05400,0,0,0,0,42161,7108679700953961663432500,0
0x7e108711771DfdB10743F016D46d75A9379cA043, 0.97730,1,1,1,0,42161,1637620456685777421921778,1238444218512176462314395
0x38eE5F5A39c01cB43473992C12936ba1219711ab, 0.96507,0,0,0,0,42161,6508913288918931096401155,0
0x38f9aBD4BD8947dA035abf51fC21244108a81CA6, 0.87038,0,0,0,0,42161,5870301588525174407929377,0
0x82AbEDF193942a6Cdc4704A8D49e54fE51160E99, 0.78504,0,0,0,0,42161,1208771132450982348911397,1021487926351990947530100
0x2a6bf8a714AcDbe9d6e9dd1753Ca09b8e7D95328, 0.62255,0,0,0,0,42161,1280946868220126859872702,729458733520810790467740
0xf6AdCf15A808d32ec0dB6592695C201120E2c478, 0.62189,0,0,0,0,42161,859876130827304739623064,833619895244637622179520
0xDAD92B08880C86e639B47516C4FEb0B10B1871D8, 0.60871,0,0,0,0,42161,831842741200000000000000,818407363839941750472045
0x90763Cf0cEB2D3Ea37702D69dB885e498EeE14fb, 0.58099,0,0,0,0,42161,3885659020971524515763070,8208349584601676734455
0x461aa63A98e6f8BdAa19CA3f2258670E794FFF34, 0.56889,1,0,1,0,1,3836906867499480186516351,0
