chain,pool_address,tokenId
10,0xf627349a40c964b649d8c7c8a7fc29708dcd9606,352114
10,0xf627349a40c964b649d8c7c8a7fc29708dcd9606,352113
10,0xfb8f652e54b06a38cedbf4d240feceda4f396acc,338140
10,0xfb8f652e54b06a38cedbf4d240feceda4f396acc,333748
10,0xf627349a40c964b649d8c7c8a7fc29708dcd9606,316410
10,0xf627349a40c964b649d8c7c8a7fc29708dcd9606,311869
10,0xf627349a40c964b649d8c7c8a7fc29708dcd9606,170525
10,0xfb8f652e54b06a38cedbf4d240feceda4f396acc,167454
10,0xfb8f652e54b06a38cedbf4d240feceda4f396acc,166048
10,0xfb8f652e54b06a38cedbf4d240feceda4f396acc,150175
42161,0x81d43b4244195b931b505e462d3f709d5a05d40d,647656
42161,0x8a7be0c0de9c1a3090ca58c95a10cee43f2b1d8b,406277
42161,0x8a7be0c0de9c1a3090ca58c95a10cee43f2b1d8b,370521
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,365342
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,358397
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,338864
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,333403
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,330740
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,294059
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,291394
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,289289
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,286421
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,283466
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,280560
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,278907
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,277856
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,275369
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,257635
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,252441
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,252231
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,248384
